Default Dataset,
X,Y
0.00008500209745435083,0.005878171019804382
0.04393835692049544,0.005752765327975619
0.11866292804627646,0.005926743646921154
0.22568056874130657,0.006544057580641596
0.31321727419248,0.00787023749070865
0.3935210738966285,0.009623562139845006
0.46088909986090554,0.011371587956932272
0.5331486101605103,0.014411940034883976
0.5888172565297064,0.018018972762531366
0.6229880997063562,0.02104372272389405
0.6515719868412335,0.029227474444174596
0.6736879871061753,0.03740857674843059
0.6945135009824916,0.05089380993383819
